versão=1.0 cod|desc|dt_ini|dt_fin - Tabela de Códigos de Situação Tributária do PIS
01|Operação Tributável com Alíquota Básica|01012006|
02|Operação Tributável com Alíquota Diferenciada|01012006|
03|Operação Tributável com Alíquota por Unidade de Medida de Produto|01012006|
04|Operação Tributável Monofásica - Revenda a Alíquota Zero|01012006|
05|Operação Tributável por Substituição Tributária|01012006|
06|Operação Tributável a Alíquota Zero|01012006|
07|Operação Isenta da Contribuição|01012006|
08|Operação sem Incidência da Contribuição|01012006|
09|Operação com Suspensão da Contribuição|01012006|
49|Outras Operações de Saída|01012006|
50|Operação com Direito a Crédito - Vinculada Exclusivamente a Receita Tributada no Mercado Interno|01012006|
51|Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Não Tributada no Mercado Interno|01012006|
52|Operação com Direito a Crédito - Vinculada Exclusivamente a Receita de Exportação|01012006|
53|Operação com Direito a Crédito - Vinculada a Receitas Tributadas e Não-Tributadas no Mercado Interno|01012006|
54|Operação com Direito a Crédito - Vinculada a Receitas Tributadas no Mercado Interno e de Exportação|01012006|
55|Operação com Direito a Crédito - Vinculada a Receitas Não-Tributadas no Mercado Interno e de Exportação|01012006|
56|Operação com Direito a Crédito - Vinculada a Receitas Tributadas e Não-Tributadas no Mercado Interno, e de Exportação|01012006|
60|Crédito Presumido - Operação de Aquisição Vinculada Exclusivamente a Receita Tributada no Mercado Interno|01012006|
61|Crédito Presumido - Operação de Aquisição Vinculada Exclusivamente a Receita Não-Tributada no Mercado Interno|01012006|
62|Crédito Presumido - Operação de Aquisição Vinculada Exclusivamente a Receita de Exportação|01012006|
63|Crédito Presumido - Operação de Aquisição Vinculada a Receitas Tributadas e Não-Tributadas no Mercado Interno|01012006|
64|Crédito Presumido - Operação de Aquisição Vinculada a Receitas Tributadas no Mercado Interno e de Exportação|01012006|
65|Crédito Presumido - Operação de Aquisição Vinculada a Receitas Não-Tributadas no Mercado Interno e de Exportação|01012006|
66|Crédito Presumido - Operação de Aquisição Vinculada a Receitas Tributadas e Não-Tributadas no Mercado Interno, e de Exportação|01012006|
67|Crédito Presumido - Outras Operações|01012006|
70|Operação de Aquisição sem Direito a Crédito|01012006|
71|Operação de Aquisição com Isenção|01012006|
72|Operação de Aquisição com Suspensão|01012006|
73|Operação de Aquisição a Alíquota Zero|01012006|
74|Operação de Aquisição sem Incidência da Contribuição|01012006|
75|Operação de Aquisição por Substituição Tributária|01012006|
98|Outras Operações de Entrada|01012006|
99|Outras Operações|01012006|
